COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
182	-292.5	118	ACTUATOR: l2 = 0.0740 @step 118
183	-337.0	194	ACTUATOR: l1 = 0.0740 @step 194
184	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0975.
185	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0397.
186	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0717.
187	-326.5	171	ACTUATOR: l1 = 0.0740 @step 171
188	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1173.
189	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0212.
190	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0675.
191	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0883.
192	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0473.
193	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0905.
194	-339.5	182	ACTUATOR: l2 = 0.1260 @step 182
195	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1213.
196	-288.5	121	ACTUATOR: l1 = 0.0740 @step 121
197	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0326.
198	-144.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0476.
199	-280.5	111	ACTUATOR: l3 = 0.0740 @step 111
200	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0701.
201	97.0	151	GOAL!!! DISPLACEMENT 0.0049m @step 151
202	-282.0	118	ACTUATOR: l3 = 0.0740 @step 118
203	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0369.
204	-324.5	172	ACTUATOR: l3 = 0.0740 @step 172
205	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0858.
206	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0778.
207	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0646.
208	-336.0	185	ACTUATOR: l3 = 0.0740 @step 185
209	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0880.
210	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0214.
211	-326.5	166	ACTUATOR: l3 = 0.0740 @step 166
212	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1043.
213	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0535.
214	-265.5	91	ACTUATOR: l3 = 0.0740 @step 91
215	-305.5	145	ACTUATOR: l3 = 0.0740 @step 145
216	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0759.
217	-304.5	142	ACTUATOR: l3 = 0.0740 @step 142
218	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0610.
219	-252.0	77	ACTUATOR: l3 = 0.0740 @step 77
220	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0737.
221	-332.5	177	ACTUATOR: l3 = 0.0740 @step 177
222	-271.0	106	ACTUATOR: l3 = 0.0740 @step 106
223	-330.0	174	ACTUATOR: l3 = 0.0740 @step 174
224	-257.0	77	ACTUATOR: l3 = 0.0740 @step 77
225	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0901.
226	-293.5	126	ACTUATOR: l3 = 0.0740 @step 126
227	-319.0	166	ACTUATOR: l3 = 0.0740 @step 166
228	-144.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0388.
229	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0483.
230	-143.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0419.
231	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0834.
232	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0951.
233	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0476.
234	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1156.
235	-324.5	164	ACTUATOR: l1 = 0.1260 @step 164
236	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0860.
237	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0759.
238	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1147.
239	171.5	39	GOAL!!! DISPLACEMENT 0.0037m @step 39
240	-306.0	154	ACTUATOR: l3 = 0.0740 @step 154
241	-310.0	151	ACTUATOR: l3 = 0.0740 @step 151
242	-308.5	150	ACTUATOR: l3 = 0.0740 @step 150
243	-247.0	67	ACTUATOR: l3 = 0.0740 @step 67
244	-153.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1357.
245	-323.5	168	ACTUATOR: l3 = 0.0740 @step 168
246	-316.0	154	ACTUATOR: l3 = 0.0740 @step 154
247	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1042.
248	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0255.
249	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0925.
250	-260.0	86	ACTUATOR: l3 = 0.0740 @step 86
251	-332.5	174	ACTUATOR: l2 = 0.0740 @step 174
252	-319.5	169	ACTUATOR: l3 = 0.0740 @step 169
253	-143.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0314.
254	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0621.
255	-144.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0490.
256	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1123.
257	-323.0	168	ACTUATOR: l3 = 0.0740 @step 168
258	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0412.
259	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0644.
260	-306.0	143	ACTUATOR: l1 = 0.0740 @step 143
261	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0630.
262	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0347.
263	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0498.
264	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0585.
265	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0837.
266	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0478.
267	-315.0	153	ACTUATOR: l2 = 0.0740 @step 153
268	-309.0	146	ACTUATOR: l3 = 0.0740 @step 146
269	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0873.
270	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0675.
271	-155.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0614.
272	-324.0	175	ACTUATOR: l2 = 0.0740 @step 175
273	-144.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0707.
274	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0887.
275	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0491.
