HYPERPARAMS
version: 1	h1_size: 512	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
292	15.1	500	0.0267	0.0237	0.0030	False
293	146.3	500	0.0773	0.0480	0.0293	False
294	90.6	500	0.0713	0.0531	0.0181	False
295	340.4	500	0.0886	0.0205	0.0681	False
296	807.5	289	0.1146	0.0029	0.1117	True
297	341.5	500	0.0843	0.0160	0.0683	False
298	140.2	500	0.0379	0.0099	0.0280	False
299	-19.3	500	0.0433	0.0472	-0.0039	False
300	115.4	500	0.0597	0.0366	0.0231	False
301	47.4	500	0.0379	0.0285	0.0095	False
302	167.7	500	0.0824	0.0488	0.0335	False
303	240.9	500	0.0948	0.0466	0.0482	False
304	255.7	500	0.0706	0.0195	0.0511	False
305	111.5	500	0.0477	0.0254	0.0223	False
306	221.8	500	0.0774	0.0330	0.0444	False
307	166.6	500	0.0765	0.0432	0.0333	False
308	168.2	500	0.0627	0.0290	0.0336	False
309	183.4	500	0.0797	0.0430	0.0367	False
310	127.3	500	0.0393	0.0138	0.0255	False
311	197.5	500	0.0759	0.0364	0.0395	False
312	-11.9	500	0.0449	0.0473	-0.0024	False
313	-12.9	500	0.0379	0.0405	-0.0026	False
314	156.2	500	0.0749	0.0436	0.0312	False
315	260.4	500	0.0713	0.0192	0.0521	False
316	-42.8	500	0.0367	0.0452	-0.0086	False
317	557.9	500	0.1171	0.0055	0.1116	False
318	16.7	500	0.0495	0.0461	0.0033	False
319	195.2	500	0.0903	0.0513	0.0390	False
320	169.1	500	0.0566	0.0228	0.0338	False
321	30.3	500	0.0259	0.0198	0.0061	False
322	241.2	500	0.0992	0.0509	0.0482	False
323	-35.8	500	0.0458	0.0530	-0.0072	False
324	340.4	500	0.0943	0.0262	0.0681	False
325	68.2	500	0.0389	0.0253	0.0136	False
326	248.5	500	0.0953	0.0456	0.0497	False
327	261.3	500	0.0718	0.0195	0.0523	False
328	307.0	500	0.0950	0.0336	0.0614	False
329	221.1	500	0.0858	0.0416	0.0442	False
330	210.0	500	0.0616	0.0196	0.0420	False
331	155.7	500	0.0715	0.0404	0.0311	False
332	38.7	500	0.0318	0.0241	0.0077	False
333	423.2	301	0.0377	0.0030	0.0347	True
334	362.5	500	0.0998	0.0273	0.0725	False
335	513.0	500	0.1117	0.0091	0.1026	False
336	296.1	500	0.0966	0.0374	0.0592	False
337	10.7	500	0.0332	0.0311	0.0021	False
338	189.3	500	0.0672	0.0294	0.0379	False
339	373.1	500	0.0999	0.0253	0.0746	False
340	393.9	500	0.1058	0.0270	0.0788	False
341	61.3	500	0.0279	0.0157	0.0123	False
342	74.4	500	0.0467	0.0318	0.0149	False
343	47.4	500	0.0642	0.0547	0.0095	False
344	299.9	500	0.0961	0.0361	0.0600	False
345	43.3	500	0.0572	0.0485	0.0087	False
346	-11.2	500	0.0266	0.0288	-0.0022	False
347	388.2	68	0.0307	0.0029	0.0278	True
348	609.9	165	0.0750	0.0028	0.0722	True
349	404.8	500	0.1072	0.0263	0.0810	False
350	-106.8	500	0.0225	0.0439	-0.0214	False
351	166.6	500	0.0528	0.0195	0.0333	False
352	167.9	500	0.0748	0.0412	0.0336	False
353	274.4	500	0.1000	0.0451	0.0549	False
354	347.2	500	0.0981	0.0286	0.0694	False
355	227.8	500	0.0759	0.0303	0.0456	False
356	291.3	500	0.1050	0.0467	0.0583	False
357	120.5	500	0.0867	0.0626	0.0241	False
358	354.6	500	0.0906	0.0197	0.0709	False
359	154.6	500	0.0651	0.0342	0.0309	False
360	256.7	500	0.0777	0.0264	0.0513	False
361	199.0	500	0.0729	0.0331	0.0398	False
362	226.1	500	0.0718	0.0266	0.0452	False
363	2.9	500	0.0409	0.0403	0.0006	False
364	217.3	500	0.0978	0.0544	0.0435	False
365	75.7	500	0.0627	0.0475	0.0151	False
366	156.3	500	0.0779	0.0466	0.0313	False
367	21.7	500	0.0236	0.0193	0.0043	False
368	311.1	500	0.0941	0.0318	0.0622	False
369	1.0	500	0.0316	0.0314	0.0002	False
370	92.7	500	0.0523	0.0338	0.0185	False
371	131.7	500	0.0565	0.0302	0.0263	False
372	181.2	500	0.0920	0.0558	0.0362	False
373	305.4	500	0.0873	0.0262	0.0611	False
374	-26.7	500	0.0145	0.0198	-0.0053	False
375	-71.9	500	0.0302	0.0446	-0.0144	False
376	138.6	500	0.0474	0.0197	0.0277	False
377	126.0	500	0.0725	0.0473	0.0252	False
378	50.0	500	0.0495	0.0395	0.0100	False
379	183.7	500	0.0667	0.0300	0.0367	False
380	363.1	500	0.1013	0.0287	0.0726	False
381	34.4	500	0.0431	0.0362	0.0069	False
382	181.8	500	0.0609	0.0246	0.0364	False
383	241.5	500	0.0645	0.0162	0.0483	False
384	-45.2	500	0.0219	0.0309	-0.0090	False
385	156.4	500	0.0651	0.0338	0.0313	False
386	171.2	500	0.0775	0.0433	0.0342	False
387	239.2	500	0.0661	0.0183	0.0478	False
388	48.5	500	0.0264	0.0167	0.0097	False
389	382.0	500	0.1025	0.0261	0.0764	False
390	274.7	500	0.0703	0.0154	0.0549	False
391	12.9	500	0.0354	0.0328	0.0026	False
392	-90.6	500	0.0160	0.0341	-0.0181	False
393	705.7	189	0.0942	0.0029	0.0913	True
394	224.6	500	0.0754	0.0305	0.0449	False
395	232.8	500	0.0938	0.0473	0.0466	False
396	78.0	500	0.0649	0.0493	0.0156	False
397	303.9	500	0.0795	0.0187	0.0608	False
398	94.1	500	0.0488	0.0300	0.0188	False
399	168.1	500	0.0695	0.0358	0.0336	False
400	75.2	500	0.0506	0.0356	0.0150	False
401	388.9	500	0.1005	0.0227	0.0778	False
402	45.8	500	0.0429	0.0338	0.0092	False
403	86.5	500	0.0575	0.0402	0.0173	False
404	101.7	500	0.0629	0.0425	0.0203	False
405	233.7	500	0.1161	0.0693	0.0467	False
406	286.1	500	0.1020	0.0448	0.0572	False
407	304.0	500	0.0767	0.0159	0.0608	False
408	182.8	500	0.0841	0.0475	0.0366	False
409	349.4	500	0.0776	0.0078	0.0699	False
410	292.9	500	0.1070	0.0484	0.0586	False
411	251.6	500	0.0742	0.0239	0.0503	False
412	336.2	500	0.0907	0.0235	0.0672	False
413	262.2	500	0.0947	0.0423	0.0524	False
414	374.9	500	0.0917	0.0167	0.0750	False
415	335.8	500	0.0979	0.0307	0.0672	False
416	60.5	500	0.0483	0.0362	0.0121	False
417	175.6	500	0.0507	0.0156	0.0351	False
418	216.2	500	0.0935	0.0503	0.0432	False
419	33.4	500	0.0206	0.0139	0.0067	False
420	-70.1	500	0.0228	0.0368	-0.0140	False
421	4.3	500	0.0469	0.0461	0.0009	False
422	385.7	500	0.0948	0.0177	0.0771	False
423	134.1	500	0.0627	0.0358	0.0268	False
424	88.1	500	0.0657	0.0481	0.0176	False
425	234.8	500	0.0751	0.0282	0.0470	False
426	87.4	500	0.0379	0.0205	0.0175	False
427	370.0	500	0.1002	0.0262	0.0740	False
428	125.1	500	0.0791	0.0541	0.0250	False
429	379.9	500	0.1026	0.0266	0.0760	False
430	119.2	500	0.0556	0.0318	0.0238	False
431	166.4	500	0.0544	0.0211	0.0333	False
432	248.1	500	0.1070	0.0573	0.0496	False
433	84.4	500	0.0463	0.0294	0.0169	False
434	129.0	500	0.0421	0.0164	0.0258	False
435	317.5	500	0.0860	0.0225	0.0635	False
436	430.2	500	0.1037	0.0177	0.0860	False
437	263.2	500	0.0901	0.0374	0.0526	False
438	366.3	500	0.1023	0.0290	0.0733	False
439	264.1	500	0.1153	0.0625	0.0528	False
440	-28.6	500	0.0388	0.0445	-0.0057	False
441	-5.7	500	0.0447	0.0459	-0.0011	False
442	56.4	500	0.0270	0.0157	0.0113	False
443	253.6	500	0.1068	0.0561	0.0507	False
444	68.9	500	0.0623	0.0485	0.0138	False
445	-53.5	500	0.0384	0.0491	-0.0107	False
446	205.0	500	0.0675	0.0265	0.0410	False
447	155.1	500	0.0479	0.0169	0.0310	False
448	266.8	500	0.0765	0.0231	0.0534	False
449	253.3	500	0.0949	0.0443	0.0507	False
450	348.2	500	0.0886	0.0190	0.0696	False
451	309.1	500	0.0748	0.0130	0.0618	False
452	-24.5	500	0.0169	0.0218	-0.0049	False
453	-24.2	500	0.0193	0.0241	-0.0048	False
454	215.4	500	0.0616	0.0185	0.0431	False
455	278.1	500	0.0806	0.0250	0.0556	False
456	16.9	500	0.0506	0.0472	0.0034	False
457	48.5	500	0.0422	0.0325	0.0097	False
458	99.9	500	0.0577	0.0377	0.0200	False
459	191.8	500	0.0951	0.0567	0.0384	False
460	219.5	500	0.0852	0.0413	0.0439	False
461	328.8	500	0.0785	0.0127	0.0658	False
462	-32.6	500	0.0578	0.0643	-0.0065	False
463	353.5	500	0.0998	0.0291	0.0707	False
464	163.9	500	0.0874	0.0547	0.0328	False
465	-132.8	500	0.0350	0.0616	-0.0266	False
466	-67.1	500	0.0644	0.0778	-0.0134	False
467	238.4	500	0.1031	0.0554	0.0477	False
468	293.5	500	0.0970	0.0383	0.0587	False
469	155.2	500	0.0631	0.0320	0.0310	False
470	143.4	500	0.0732	0.0445	0.0287	False
471	124.4	500	0.0629	0.0380	0.0249	False
472	-39.1	500	0.0103	0.0181	-0.0078	False
473	237.9	500	0.0653	0.0177	0.0476	False
474	-33.6	500	0.0175	0.0242	-0.0067	False
475	32.0	500	0.0409	0.0345	0.0064	False
476	202.6	500	0.0847	0.0442	0.0405	False
477	361.1	500	0.1067	0.0345	0.0722	False
478	38.2	500	0.0391	0.0314	0.0076	False
479	205.6	500	0.0926	0.0514	0.0411	False
480	228.7	500	0.0947	0.0489	0.0457	False
481	-70.3	500	0.0161	0.0302	-0.0141	False
482	-16.3	500	0.0320	0.0352	-0.0033	False
483	334.9	500	0.1043	0.0373	0.0670	False
484	213.8	500	0.0692	0.0265	0.0428	False
485	116.9	500	0.0615	0.0381	0.0234	False
486	242.6	500	0.0799	0.0314	0.0485	False
487	-20.5	500	0.0634	0.0675	-0.0041	False
488	222.5	500	0.1033	0.0588	0.0445	False
489	18.5	500	0.0279	0.0242	0.0037	False
490	268.4	500	0.0925	0.0388	0.0537	False
491	-5.4	500	0.0286	0.0297	-0.0011	False
492	-94.1	500	0.0299	0.0487	-0.0188	False
493	198.7	500	0.0943	0.0546	0.0397	False
494	144.4	500	0.0881	0.0592	0.0289	False
495	234.5	500	0.0813	0.0344	0.0469	False
496	216.4	500	0.0719	0.0286	0.0433	False
497	288.5	500	0.0902	0.0325	0.0577	False
498	312.5	500	0.0921	0.0296	0.0625	False
499	293.8	500	0.0843	0.0255	0.0588	False
500	374.1	500	0.1008	0.0260	0.0748	False
501	202.2	500	0.0828	0.0423	0.0404	False
502	244.3	500	0.0998	0.0509	0.0489	False
503	176.5	500	0.0967	0.0614	0.0353	False
504	47.2	500	0.0709	0.0614	0.0094	False
505	196.0	500	0.0562	0.0170	0.0392	False
506	455.9	500	0.1148	0.0236	0.0912	False
507	313.4	500	0.0987	0.0360	0.0627	False
508	398.6	500	0.1094	0.0296	0.0797	False
509	182.6	500	0.0558	0.0193	0.0365	False
510	286.7	500	0.0986	0.0412	0.0573	False
511	209.3	500	0.0898	0.0479	0.0419	False
512	142.6	500	0.0818	0.0533	0.0285	False
513	365.4	500	0.0891	0.0161	0.0731	False
514	141.2	500	0.0537	0.0255	0.0282	False
515	-66.9	500	0.0232	0.0366	-0.0134	False
516	501.3	500	0.1106	0.0103	0.1003	False
517	417.6	500	0.1097	0.0262	0.0835	False
518	60.0	500	0.0873	0.0753	0.0120	False
519	-11.8	500	0.0246	0.0270	-0.0024	False
520	-66.1	500	0.0336	0.0468	-0.0132	False
521	92.1	500	0.0511	0.0327	0.0184	False
522	250.0	500	0.1105	0.0605	0.0500	False
523	221.2	500	0.0810	0.0368	0.0442	False
524	351.4	500	0.0983	0.0280	0.0703	False
525	155.6	500	0.1102	0.0791	0.0311	False
526	736.9	218	0.1004	0.0028	0.0976	True
527	708.4	198	0.0949	0.0028	0.0920	True
528	312.7	500	0.0997	0.0371	0.0625	False
529	172.4	500	0.0644	0.0299	0.0345	False
530	15.5	500	0.0244	0.0213	0.0031	False
531	-53.9	500	0.0196	0.0304	-0.0108	False
532	138.2	500	0.0716	0.0439	0.0276	False
533	105.8	500	0.1025	0.0813	0.0212	False
534	135.7	500	0.0834	0.0562	0.0271	False
