HYPERPARAMS
version: 12	h1_size: 1024	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	new_r	E[r]	steps	start_d	end_d	covered	goal
167	-583.4	-583.4	-421.7	500	0.0321	0.0488	-0.0167	0
168	-438.5	-438.5	-422.7	500	0.0942	0.0819	0.0123	0
169	-488.5	-488.5	-422.7	500	0.0216	0.0193	0.0023	0
170	-402.6	-394.4	-423.1	500	0.0845	0.0634	0.0211	0
171	-450.6	-450.6	-423.0	500	0.0869	0.0770	0.0099	0
172	-556.2	-556.2	-423.1	500	0.0294	0.0406	-0.0112	0
173	-482.0	-482.0	-423.9	500	0.0429	0.0392	0.0036	0
174	-444.6	-444.6	-424.2	500	0.0313	0.0202	0.0111	0
175	-385.0	-278.9	-424.3	500	0.0925	0.0483	0.0442	0
176	-516.0	-516.0	-423.5	500	0.0444	0.0476	-0.0032	0
177	-409.0	-409.0	-424.0	500	0.1149	0.0967	0.0182	0
178	-440.4	-440.4	-424.0	500	0.0792	0.0672	0.0119	0
179	-470.4	-470.4	-424.0	500	0.0646	0.0587	0.0059	0
180	-459.2	-376.6	-424.3	500	0.0535	0.0289	0.0247	0
181	-507.2	-507.2	-424.0	500	0.0595	0.0609	-0.0014	0
182	-537.5	-537.5	-424.5	500	0.0257	0.0332	-0.0075	0
183	-487.7	-487.7	-425.1	500	0.0651	0.0626	0.0025	0
184	-459.0	-453.7	-425.5	500	0.0546	0.0454	0.0093	0
185	-377.1	-377.2	-425.6	500	0.0734	0.0489	0.0246	0
186	-482.8	-482.8	-425.3	500	0.0402	0.0368	0.0034	0
187	-452.0	-440.9	-425.7	500	0.0708	0.0590	0.0118	0
188	-300.9	-278.9	-425.7	500	0.1081	0.0638	0.0442	0
189	-405.3	-405.3	-425.0	500	0.1115	0.0925	0.0189	0
190	-487.4	-509.1	-424.9	500	0.0207	0.0226	-0.0018	0
191	-465.2	-465.2	-425.3	500	0.0788	0.0718	0.0070	0
192	-489.7	-394.4	-425.5	500	0.0674	0.0462	0.0211	0
193	-422.0	-422.0	-425.3	500	0.0991	0.0835	0.0156	0
194	-419.2	-419.2	-425.3	500	0.1040	0.0879	0.0162	0
195	-511.3	-511.3	-425.3	500	0.0258	0.0281	-0.0023	0
196	-451.6	-451.6	-425.7	500	0.0777	0.0680	0.0097	0
197	-157.0	-206.2	-425.9	500	0.0996	0.0408	0.0588	0
198	-520.0	-493.7	-424.8	500	0.0336	0.0323	0.0013	0
199	-573.0	-301.3	-425.1	500	0.0740	0.0343	0.0397	0
200	-427.2	-430.5	-424.5	500	0.0432	0.0293	0.0139	0
201	-377.7	-219.3	-424.5	500	0.0851	0.0290	0.0561	0
202	-453.8	-453.8	-423.5	500	0.0739	0.0647	0.0092	0
203	-453.2	-453.2	-423.6	500	0.0603	0.0510	0.0094	0
204	-403.6	-403.6	-423.8	500	0.1130	0.0937	0.0193	0
205	-546.3	-546.3	-423.7	500	0.0401	0.0493	-0.0093	0
206	-429.8	-418.4	-424.3	500	0.0956	0.0792	0.0163	0
207	-462.1	-462.1	-424.3	500	0.0749	0.0673	0.0076	0
208	-462.2	-450.5	-424.4	500	0.0227	0.0128	0.0099	0
209	-494.0	-494.0	-424.6	500	0.0450	0.0439	0.0012	0
210	-547.4	-547.4	-424.9	500	0.0340	0.0435	-0.0095	0
211	-467.1	-467.1	-425.5	500	0.0458	0.0392	0.0066	0
212	-444.7	-444.7	-425.7	500	0.0903	0.0792	0.0111	0
213	-488.2	-488.2	-425.8	500	0.0480	0.0456	0.0024	0
214	-19.4	-58.1	-426.1	500	0.1122	0.0238	0.0884	0
215	-604.2	-604.2	-424.3	500	0.0238	0.0446	-0.0208	0
216	-438.3	-467.3	-425.2	500	0.0435	0.0369	0.0065	0
217	-375.6	-389.6	-425.4	500	0.0888	0.0667	0.0221	0
218	-452.0	-452.0	-425.2	500	0.0799	0.0703	0.0096	0
219	-448.2	-448.2	-425.3	500	0.0891	0.0787	0.0104	0
220	-456.5	-456.5	-425.4	500	0.0766	0.0679	0.0087	0
221	-497.4	-497.4	-425.6	500	0.0568	0.0563	0.0005	0
222	-434.7	-434.7	-425.9	500	0.0916	0.0785	0.0131	0
223	-516.0	-516.0	-425.9	500	0.0471	0.0503	-0.0032	0
224	-460.4	-460.4	-426.3	500	0.0728	0.0649	0.0079	0
225	-442.4	-442.4	-426.5	500	0.0800	0.0685	0.0115	0
226	-480.2	-480.2	-426.6	500	0.0466	0.0426	0.0040	0
227	-451.2	-451.2	-426.8	500	0.0772	0.0675	0.0098	0
228	-355.5	-332.6	-426.9	500	0.0795	0.0460	0.0335	0
229	-428.1	-428.1	-426.5	500	0.0849	0.0705	0.0144	0
230	-480.2	-480.2	-426.5	500	0.0660	0.0620	0.0040	0
231	-442.1	-442.1	-426.7	500	0.0907	0.0791	0.0116	0
232	-441.6	-432.1	-426.8	500	0.0853	0.0717	0.0136	0
233	-427.8	-427.8	-426.8	500	0.0985	0.0840	0.0144	0
234	-454.3	-488.7	-426.8	500	0.0619	0.0597	0.0023	0
235	-267.4	-271.1	-427.1	500	0.0936	0.0478	0.0458	0
236	-440.2	-440.2	-426.4	500	0.0691	0.0571	0.0120	0
237	-427.6	-427.6	-426.5	500	0.0835	0.0690	0.0145	0
238	-467.9	-467.9	-426.5	500	0.0201	0.0137	0.0064	0
239	-575.8	-575.8	-426.7	500	0.0330	0.0482	-0.0152	0
240	-554.2	-554.2	-427.3	500	0.0207	0.0315	-0.0108	0
241	-444.7	-444.7	-427.8	500	0.0835	0.0724	0.0111	0
242	-436.8	-436.8	-427.9	500	0.0914	0.0787	0.0126	0
243	-451.4	-451.4	-427.9	500	0.0729	0.0632	0.0097	0
244	-416.4	-416.4	-428.0	500	0.1048	0.0881	0.0167	0
245	-413.1	-413.1	-428.0	500	0.1024	0.0850	0.0174	0
246	-495.0	-495.0	-427.9	500	0.0442	0.0432	0.0010	0
247	-460.9	-460.9	-428.2	500	0.0831	0.0753	0.0078	0
248	-443.6	-443.6	-428.3	500	0.0817	0.0705	0.0113	0
249	-219.8	-322.1	-428.4	500	0.0888	0.0532	0.0356	0
250	-511.7	-485.8	-427.9	500	0.0554	0.0526	0.0028	0
251	-454.4	-420.0	-428.2	500	0.0591	0.0431	0.0160	0
252	-487.1	-487.1	-428.1	500	0.0591	0.0565	0.0026	0
253	-431.2	-431.2	-428.4	500	0.0928	0.0791	0.0138	0
254	-549.8	-528.9	-428.4	500	0.0412	0.0470	-0.0058	0
255	-392.7	-394.9	-428.8	500	0.1045	0.0835	0.0210	0
256	-633.3	-430.6	-428.6	500	0.0890	0.0751	0.0139	0
257	-266.1	-245.6	-428.7	500	0.0806	0.0297	0.0509	0
258	-507.4	-413.1	-427.9	500	0.1077	0.0903	0.0174	0
259	-250.3	-270.7	-427.9	500	0.1009	0.0551	0.0459	0
260	-583.7	-583.7	-427.3	500	0.0232	0.0400	-0.0167	0
261	-475.9	-475.9	-427.9	500	0.0452	0.0404	0.0048	0
262	-459.4	-459.4	-428.1	500	0.0325	0.0244	0.0081	0
263	-435.4	-435.4	-428.2	500	0.0872	0.0743	0.0129	0
264	-452.8	-360.9	-428.2	500	0.0851	0.0573	0.0278	0
265	-434.1	-434.1	-428.0	500	0.0964	0.0832	0.0132	0
266	386.2	405.7	-428.0	149	0.0638	0.0030	0.0608	1
267	-253.9	-269.2	-424.9	500	0.0718	0.0257	0.0462	0
268	-405.2	-394.8	-424.3	500	0.0780	0.0569	0.0210	0
269	-506.0	-506.0	-424.2	500	0.0588	0.0600	-0.0012	0
270	-449.0	-449.0	-424.5	500	0.0763	0.0661	0.0102	0
271	-415.0	-415.0	-424.6	500	0.1083	0.0913	0.0170	0
272	-449.7	-449.7	-424.5	500	0.0740	0.0640	0.0101	0
273	-495.9	-495.9	-424.6	500	0.0364	0.0356	0.0008	0
274	-385.1	-399.6	-424.9	500	0.0464	0.0263	0.0201	0
275	-465.5	-465.5	-424.8	500	0.0552	0.0483	0.0069	0
276	-456.3	-425.3	-424.9	500	0.0783	0.0634	0.0149	0
277	-374.0	-346.6	-424.9	500	0.1129	0.0822	0.0307	0
278	-507.3	-507.3	-424.7	500	0.0619	0.0634	-0.0015	0
279	-323.2	-323.0	-425.0	500	0.0887	0.0533	0.0354	0
280	-581.0	-443.6	-424.6	500	0.0188	0.0075	0.0113	0
281	-523.6	-523.6	-424.7	500	0.0441	0.0488	-0.0047	0
282	-221.1	-226.0	-425.0	500	0.0889	0.0341	0.0548	0
283	-320.7	-287.8	-424.3	500	0.0649	0.0224	0.0424	0
284	-461.0	-461.0	-423.8	500	0.0835	0.0757	0.0078	0
285	-422.5	-422.5	-424.0	500	0.0982	0.0827	0.0155	0
286	-537.0	-537.0	-423.9	500	0.0365	0.0439	-0.0074	0
287	-447.5	-456.3	-424.3	500	0.0870	0.0783	0.0087	0
288	-454.3	-454.3	-424.5	500	0.0572	0.0480	0.0091	0
289	-412.9	-408.8	-424.6	500	0.0946	0.0763	0.0182	0
290	-118.7	-118.7	-424.5	500	0.1044	0.0281	0.0763	0
291	-520.6	-520.6	-423.5	500	0.0382	0.0423	-0.0041	0
292	-417.5	-381.6	-423.8	500	0.0683	0.0447	0.0237	0
293	-412.8	-412.8	-423.6	500	0.1053	0.0878	0.0174	0
294	-165.1	512.7	-423.6	132	0.0818	0.0027	0.0791	1
295	-479.7	-479.7	-420.4	500	0.0521	0.0481	0.0041	0
296	-440.4	-440.4	-420.6	500	0.0911	0.0792	0.0119	0
297	-229.8	-195.6	-420.7	500	0.0916	0.0307	0.0609	0
298	-464.7	-464.7	-419.9	500	0.0544	0.0474	0.0071	0
299	-269.9	-196.6	-420.1	500	0.1121	0.0514	0.0607	0
300	-477.5	-477.5	-419.3	500	0.0568	0.0523	0.0045	0
301	-323.7	-301.0	-419.5	500	0.0540	0.0142	0.0398	0
302	-469.3	-469.3	-419.1	500	0.0216	0.0154	0.0061	0
303	-545.9	-545.9	-419.3	500	0.0205	0.0297	-0.0092	0
304	-408.8	-408.8	-419.7	500	0.1099	0.0917	0.0182	0
305	-61.0	-61.0	-419.7	500	0.1102	0.0224	0.0878	0
306	-544.8	-544.8	-418.5	500	0.0159	0.0249	-0.0090	0
307	-402.0	-402.0	-418.9	500	0.1125	0.0929	0.0196	0
308	-461.5	-461.5	-418.9	500	0.0743	0.0666	0.0077	0
309	-265.9	-275.6	-419.0	500	0.1020	0.0571	0.0449	0
310	-513.1	-513.1	-418.6	500	0.0330	0.0356	-0.0026	0
311	325.7	327.3	-418.9	36	0.0259	0.0029	0.0231	1
312	-439.4	-439.4	-416.5	500	0.0919	0.0798	0.0121	0
313	-458.1	-464.0	-416.5	500	0.0652	0.0580	0.0072	0
314	-498.9	-498.9	-416.7	500	0.0231	0.0229	0.0002	0
315	-281.4	-183.1	-416.9	500	0.0789	0.0155	0.0634	0
316	-418.9	-418.9	-416.2	500	0.1021	0.0859	0.0162	0
317	-478.4	-478.4	-416.2	500	0.0606	0.0562	0.0043	0
318	-94.6	-107.2	-416.4	500	0.1119	0.0334	0.0786	0
319	-460.1	-460.1	-415.4	500	0.0784	0.0705	0.0080	0
320	-525.1	-525.1	-415.6	500	0.0523	0.0573	-0.0050	0
321	-415.1	-415.1	-415.9	500	0.0996	0.0826	0.0170	0
322	-572.8	-572.8	-415.9	500	0.0344	0.0490	-0.0146	0
323	-542.9	-542.9	-416.4	500	0.0284	0.0370	-0.0086	0
324	-449.0	-449.0	-416.8	500	0.0801	0.0699	0.0102	0
325	-491.4	-474.6	-416.9	500	0.0316	0.0265	0.0051	0
326	-467.1	-467.1	-417.1	500	0.0505	0.0439	0.0066	0
327	-251.6	-229.5	-417.2	500	0.0949	0.0408	0.0541	0
328	-449.6	-449.6	-416.7	500	0.0834	0.0733	0.0101	0
329	-330.7	-320.5	-416.8	500	0.1163	0.0804	0.0359	0
330	-511.8	-511.8	-416.5	500	0.0465	0.0488	-0.0024	0
331	-428.1	-428.1	-416.8	500	0.0889	0.0745	0.0144	0
332	-416.8	-416.8	-416.8	500	0.1050	0.0883	0.0166	0
333	-400.8	-409.3	-416.8	500	0.0482	0.0301	0.0181	0
334	-451.4	-446.3	-416.8	500	0.0771	0.0663	0.0107	0
335	-412.8	-404.4	-416.9	500	0.0810	0.0618	0.0191	0
336	-479.5	-485.9	-416.8	500	0.0274	0.0246	0.0028	0
337	-479.3	-481.5	-417.0	500	0.0563	0.0526	0.0037	0
338	-484.0	-506.9	-417.2	500	0.0522	0.0536	-0.0014	0
339	-474.5	-474.5	-417.5	500	0.0661	0.0610	0.0051	0
340	-530.1	-530.1	-417.6	500	0.0296	0.0356	-0.0060	0
341	-526.0	-526.0	-418.0	500	0.0389	0.0441	-0.0052	0
342	-304.6	-306.6	-418.3	500	0.0559	0.0172	0.0387	0
343	-449.1	-449.1	-418.0	500	0.0773	0.0672	0.0102	0
344	-467.1	-467.1	-418.1	500	0.0350	0.0284	0.0066	0
345	-453.5	-416.9	-418.2	500	0.0486	0.0319	0.0166	0
346	-426.2	-426.2	-418.2	500	0.0988	0.0840	0.0148	0
347	-491.9	-491.9	-418.2	500	0.0481	0.0465	0.0016	0
348	-450.1	-450.1	-418.4	500	0.0864	0.0764	0.0100	0
349	-488.9	-456.2	-418.5	500	0.0218	0.0131	0.0088	0
350	-430.6	-430.6	-418.6	500	0.0980	0.0841	0.0139	0
351	-419.4	-419.4	-418.7	500	0.1035	0.0873	0.0161	0
352	-481.5	-481.5	-418.7	500	0.0627	0.0590	0.0037	0
353	-451.6	-451.6	-418.8	500	0.0673	0.0576	0.0097	0
354	-421.1	-421.1	-418.9	500	0.0998	0.0840	0.0158	0
355	-439.1	-439.1	-418.9	500	0.0782	0.0660	0.0122	0
356	-317.2	-330.0	-419.0	500	0.0856	0.0515	0.0340	0
357	-612.0	-612.0	-418.7	500	0.0258	0.0482	-0.0224	0
358	-446.1	-446.1	-419.3	500	0.0777	0.0669	0.0108	0
359	-342.9	-270.1	-419.4	500	0.0646	0.0186	0.0460	0
360	-210.2	-216.5	-418.9	500	0.0821	0.0254	0.0567	0
361	-461.4	-436.0	-418.4	500	0.0649	0.0521	0.0128	0
362	-385.2	-386.5	-418.4	500	0.0746	0.0519	0.0227	0
363	-368.7	-350.9	-418.3	500	0.1017	0.0719	0.0298	0
364	-463.7	-463.7	-418.2	500	0.0602	0.0530	0.0073	0
365	-440.8	-417.0	-418.3	500	0.1046	0.0880	0.0166	0
366	-499.7	-499.7	-418.3	500	0.0557	0.0556	0.0001	0
367	-375.0	-366.2	-418.5	500	0.0564	0.0297	0.0268	0
368	-414.4	-414.4	-418.4	500	0.1057	0.0886	0.0171	0
369	-450.2	-450.2	-418.3	500	0.0646	0.0546	0.0100	0
370	-486.6	-486.6	-418.4	500	0.0597	0.0570	0.0027	0
371	-508.8	-508.8	-418.6	500	0.0560	0.0577	-0.0018	0
372	-263.2	-223.4	-418.9	500	0.0682	0.0129	0.0553	0
