HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
212	-471.9	-192.6	500	0.0291	0.0235	0.0056	0
213	-399.9	-193.9	500	0.0350	0.0150	0.0200	0
214	-297.4	-194.9	500	0.0618	0.0213	0.0405	0
215	-435.6	-195.4	500	0.0399	0.0271	0.0129	0
216	518.4	-196.5	150	0.0866	0.0029	0.0837	1
217	-182.6	-193.2	500	0.0951	0.0316	0.0635	0
218	-427.6	-193.1	500	0.0261	0.0116	0.0145	0
219	-260.0	-194.2	500	0.0631	0.0151	0.0480	0
220	-99.8	-194.5	500	0.0940	0.0139	0.0800	0
221	-245.1	-194.1	500	0.1105	0.0595	0.0510	0
222	-368.5	-194.3	500	0.0357	0.0094	0.0263	0
223	-295.0	-195.1	500	0.0514	0.0104	0.0410	0
224	-251.9	-195.5	500	0.0757	0.0261	0.0496	0
225	-120.9	-195.8	500	0.1016	0.0258	0.0758	0
226	-152.2	-195.4	500	0.0873	0.0178	0.0696	0
227	-133.8	-195.2	500	0.1052	0.0320	0.0732	0
228	-234.8	-195.0	500	0.1138	0.0608	0.0530	0
229	-158.1	-195.2	500	0.0771	0.0088	0.0684	0
230	-462.8	-195.0	500	0.0223	0.0148	0.0074	0
231	-234.8	-196.2	500	0.0727	0.0197	0.0530	0
232	-264.0	-196.3	500	0.0991	0.0519	0.0472	0
233	408.6	-196.6	275	0.0896	0.0029	0.0867	1
234	-337.0	-194.0	500	0.0648	0.0322	0.0326	0
235	-411.3	-194.6	500	0.0458	0.0281	0.0177	0
236	-554.5	-195.5	500	0.0086	0.0195	-0.0109	0
237	-183.3	-197.1	500	0.0771	0.0138	0.0633	0
238	-325.0	-197.0	500	0.0612	0.0262	0.0350	0
239	-157.7	-197.5	500	0.0754	0.0070	0.0685	0
240	-108.1	-197.4	500	0.0834	0.0050	0.0784	0
241	-152.5	-197.0	500	0.0968	0.0273	0.0695	0
242	-87.2	-196.8	500	0.1108	0.0282	0.0826	0
243	-422.3	-196.4	500	0.0407	0.0251	0.0155	0
244	291.1	-197.3	211	0.0533	0.0029	0.0504	1
245	-75.4	-195.3	500	0.1090	0.0240	0.0849	0
246	-116.5	-194.8	500	0.0896	0.0129	0.0767	0
247	-133.9	-194.5	500	0.0810	0.0078	0.0732	0
248	-274.1	-194.3	500	0.0770	0.0318	0.0452	0
249	-315.8	-194.6	500	0.0582	0.0213	0.0368	0
250	-425.6	-195.1	500	0.0386	0.0237	0.0149	0
251	-253.5	-196.0	500	0.0653	0.0160	0.0493	0
252	-125.0	-196.2	500	0.1049	0.0299	0.0750	0
253	-287.7	-195.9	500	0.0851	0.0426	0.0425	0
254	-468.2	-196.3	500	0.0312	0.0248	0.0064	0
255	-260.0	-197.4	500	0.0564	0.0084	0.0480	0
256	-224.6	-197.6	500	0.0751	0.0200	0.0551	0
257	-322.8	-197.7	500	0.0492	0.0138	0.0354	0
258	-161.3	-198.2	500	0.1014	0.0337	0.0677	0
259	-120.0	-198.0	500	0.0808	0.0048	0.0760	0
260	-420.9	-197.7	500	0.0505	0.0346	0.0158	0
261	-395.2	-198.6	500	0.0614	0.0404	0.0210	0
262	-212.4	-199.3	500	0.0980	0.0404	0.0575	0
263	-372.4	-199.4	500	0.0366	0.0111	0.0255	0
264	-74.6	-200.1	500	0.0923	0.0072	0.0851	0
265	-488.7	-199.6	500	0.0359	0.0336	0.0023	0
266	-370.9	-200.7	500	0.0368	0.0110	0.0258	0
267	-201.9	-201.3	500	0.0742	0.0146	0.0596	0
268	-156.2	-201.3	500	0.0984	0.0296	0.0688	0
269	344.9	-201.1	142	0.0502	0.0029	0.0473	1
