HYPERPARAMS
version: 2	h1_size: 100	h2_size: 100	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
380	-69.0	500	0.0161	0.0299	-0.0138	False
381	98.7	500	0.0697	0.0500	0.0197	False
382	164.8	500	0.0779	0.0450	0.0330	False
383	-71.5	500	0.0134	0.0277	-0.0143	False
384	162.9	500	0.0915	0.0589	0.0326	False
385	161.7	500	0.0646	0.0322	0.0323	False
386	14.0	500	0.0408	0.0380	0.0028	False
387	87.6	500	0.0452	0.0277	0.0175	False
388	57.1	500	0.0962	0.0847	0.0114	False
389	207.1	500	0.0882	0.0468	0.0414	False
390	71.2	500	0.0537	0.0394	0.0142	False
391	217.8	500	0.0785	0.0350	0.0436	False
392	188.5	500	0.0671	0.0294	0.0377	False
393	313.3	500	0.0865	0.0239	0.0627	False
394	204.5	500	0.0619	0.0210	0.0409	False
395	78.9	500	0.0471	0.0313	0.0158	False
396	340.5	500	0.0926	0.0245	0.0681	False
397	360.8	500	0.0910	0.0188	0.0722	False
398	57.2	500	0.0392	0.0277	0.0114	False
399	340.7	500	0.0932	0.0250	0.0681	False
400	243.5	500	0.0643	0.0156	0.0487	False
401	60.6	500	0.1094	0.0973	0.0121	False
402	27.7	500	0.0204	0.0149	0.0055	False
403	222.9	500	0.0843	0.0397	0.0446	False
404	340.4	500	0.0956	0.0275	0.0681	False
405	139.6	500	0.0805	0.0525	0.0279	False
406	292.7	500	0.0693	0.0107	0.0585	False
407	78.8	500	0.0581	0.0423	0.0158	False
408	-69.7	500	0.0357	0.0497	-0.0139	False
409	74.4	500	0.0692	0.0543	0.0149	False
410	58.1	500	0.0633	0.0517	0.0116	False
411	-10.2	500	0.0371	0.0392	-0.0020	False
412	652.0	153	0.0835	0.0026	0.0810	True
413	133.7	500	0.0555	0.0288	0.0267	False
414	88.6	500	0.0537	0.0360	0.0177	False
415	-118.2	500	0.0186	0.0422	-0.0236	False
416	42.4	500	0.0487	0.0402	0.0085	False
417	410.9	500	0.1016	0.0194	0.0822	False
418	336.0	500	0.1090	0.0418	0.0672	False
419	330.5	500	0.0808	0.0147	0.0661	False
420	24.3	500	0.0167	0.0118	0.0049	False
421	302.2	500	0.1181	0.0576	0.0604	False
422	272.8	500	0.0989	0.0444	0.0546	False
423	62.0	500	0.0917	0.0793	0.0124	False
424	213.7	500	0.0783	0.0356	0.0427	False
425	237.5	500	0.1046	0.0571	0.0475	False
426	-14.7	500	0.0386	0.0416	-0.0029	False
427	279.6	500	0.0808	0.0249	0.0559	False
428	115.3	500	0.0627	0.0396	0.0231	False
429	120.3	500	0.0420	0.0180	0.0241	False
430	274.3	500	0.0954	0.0405	0.0549	False
431	29.1	500	0.0411	0.0353	0.0058	False
432	61.6	500	0.0632	0.0508	0.0123	False
433	127.1	500	0.0462	0.0207	0.0254	False
434	339.0	500	0.0881	0.0203	0.0678	False
435	-5.1	500	0.0390	0.0400	-0.0010	False
436	165.2	500	0.0754	0.0424	0.0330	False
437	400.2	500	0.1034	0.0234	0.0800	False
438	315.2	500	0.0888	0.0258	0.0630	False
439	48.7	500	0.0523	0.0426	0.0097	False
440	176.7	500	0.0527	0.0173	0.0353	False
441	206.1	500	0.0594	0.0181	0.0412	False
442	296.2	500	0.0941	0.0349	0.0592	False
443	208.4	500	0.0820	0.0404	0.0417	False
444	48.4	500	0.0276	0.0179	0.0097	False
445	327.8	500	0.0765	0.0109	0.0656	False
446	349.9	500	0.0893	0.0193	0.0700	False
447	-46.3	500	0.0182	0.0275	-0.0093	False
448	274.7	500	0.0764	0.0215	0.0549	False
449	395.2	500	0.1138	0.0348	0.0790	False
450	51.0	500	0.0660	0.0558	0.0102	False
451	145.1	500	0.0334	0.0044	0.0290	False
452	362.5	500	0.0974	0.0249	0.0725	False
453	182.1	500	0.0827	0.0462	0.0364	False
454	308.7	500	0.0947	0.0330	0.0617	False
455	68.9	500	0.0786	0.0648	0.0138	False
456	-23.4	500	0.0341	0.0388	-0.0047	False
457	241.2	500	0.0669	0.0187	0.0482	False
458	21.6	500	0.0381	0.0338	0.0043	False
459	382.9	500	0.1131	0.0365	0.0766	False
460	-34.1	500	0.0427	0.0495	-0.0068	False
461	85.2	500	0.0609	0.0439	0.0170	False
462	267.4	500	0.0928	0.0393	0.0535	False
463	372.2	500	0.1070	0.0326	0.0744	False
464	-13.2	500	0.0522	0.0548	-0.0026	False
465	298.1	500	0.1052	0.0456	0.0596	False
466	318.0	500	0.0811	0.0175	0.0636	False
467	-79.3	500	0.0298	0.0456	-0.0159	False
468	204.9	500	0.0943	0.0533	0.0410	False
469	-40.1	500	0.0286	0.0366	-0.0080	False
470	10.2	500	0.0653	0.0633	0.0020	False
471	44.3	500	0.0708	0.0620	0.0089	False
472	8.0	500	0.0288	0.0272	0.0016	False
473	-63.5	500	0.0294	0.0421	-0.0127	False
474	121.7	500	0.0558	0.0315	0.0243	False
475	102.7	500	0.0632	0.0427	0.0205	False
476	74.1	500	0.0729	0.0580	0.0148	False
477	-11.4	500	0.0391	0.0414	-0.0023	False
478	102.9	500	0.0616	0.0410	0.0206	False
479	259.3	500	0.0837	0.0319	0.0519	False
480	66.2	500	0.0736	0.0604	0.0132	False
481	252.7	500	0.0941	0.0436	0.0505	False
482	339.9	500	0.1005	0.0326	0.0680	False
483	193.5	500	0.0870	0.0483	0.0387	False
484	-74.9	500	0.0276	0.0426	-0.0150	False
485	50.8	500	0.0566	0.0465	0.0102	False
486	332.5	500	0.1043	0.0378	0.0665	False
487	33.0	500	0.0442	0.0376	0.0066	False
488	92.1	500	0.0462	0.0278	0.0184	False
489	107.0	500	0.0670	0.0456	0.0214	False
490	237.0	500	0.0948	0.0474	0.0474	False
491	-67.0	500	0.0224	0.0358	-0.0134	False
492	6.5	500	0.0499	0.0486	0.0013	False
493	234.8	500	0.0633	0.0163	0.0470	False
494	151.1	500	0.0740	0.0438	0.0302	False
495	-60.6	500	0.0310	0.0431	-0.0121	False
496	-54.0	500	0.0384	0.0492	-0.0108	False
497	77.8	500	0.0760	0.0605	0.0156	False
498	26.0	500	0.0280	0.0228	0.0052	False
499	3.4	500	0.0539	0.0532	0.0007	False
500	284.4	500	0.0926	0.0357	0.0569	False
501	123.6	500	0.0489	0.0242	0.0247	False
502	-32.8	500	0.0795	0.0861	-0.0066	False
503	71.5	500	0.0627	0.0484	0.0143	False
504	8.5	500	0.0363	0.0346	0.0017	False
505	182.4	500	0.0906	0.0542	0.0365	False
506	309.3	500	0.0832	0.0214	0.0619	False
507	440.0	500	0.0951	0.0071	0.0880	False
508	807.7	421	0.1146	0.0028	0.1119	True
509	225.6	500	0.0929	0.0478	0.0451	False
510	141.7	500	0.0584	0.0301	0.0283	False
511	127.5	500	0.0859	0.0604	0.0255	False
512	61.3	500	0.0513	0.0390	0.0123	False
513	-47.8	500	0.0409	0.0504	-0.0096	False
514	81.8	500	0.0455	0.0291	0.0164	False
515	136.7	500	0.0865	0.0592	0.0273	False
516	236.6	500	0.0817	0.0344	0.0473	False
517	226.3	500	0.0849	0.0397	0.0453	False
518	172.0	500	0.0945	0.0601	0.0344	False
519	-14.1	500	0.0761	0.0790	-0.0028	False
520	243.4	500	0.0986	0.0499	0.0487	False
521	172.3	500	0.0850	0.0506	0.0345	False
522	303.1	500	0.0933	0.0327	0.0606	False
523	-34.8	500	0.0692	0.0761	-0.0070	False
524	243.3	500	0.1133	0.0646	0.0487	False
525	151.8	500	0.0741	0.0438	0.0304	False
526	94.6	500	0.0629	0.0440	0.0189	False
527	158.2	500	0.0727	0.0411	0.0316	False
528	-35.2	500	0.0292	0.0363	-0.0070	False
529	18.4	500	0.0447	0.0410	0.0037	False
530	341.9	500	0.1004	0.0320	0.0684	False
531	-60.3	500	0.0356	0.0476	-0.0121	False
532	155.8	500	0.0791	0.0479	0.0312	False
533	363.1	500	0.0990	0.0264	0.0726	False
